상품명,가격,별점,리뷰수,판매수량,온라인판매금액
대상 호밍스 햄&고기듬뿍 부대찌개 600G,15400,4.9,56,58,893200
[밀키트] 더본코리아 백종원의 빽쿡 얼큰대파 육개장 489G,9990,4.5,16,57,569430
풀무원 순쌀 떡볶이 2인분 480G,4990,4.8,1575,56,279440
[하남돼지집] 한돈 간장불고기 x 3개,20700,,0,56,1159200
[밀키트] 고기듬뿍 우거지 감자탕1650G,15990,4.5,77,56,895440
[밀키트] 더본코리아 백종원의 빽쿡 애호박 고추장 찌개 575G,9990,4.6,238,54,539460
사옹원 바로먹는 한끼잡채 오리지널 210g 1개,4100,5.0,1,53,217300
[하남돼지집] 고깃집 차돌 된장찌개x2개,7800,3.0,1,51,397800
싱카이 짬뽕 2인분 냉동 1340G,13990,4.6,277,50,699500
대상 호밍스 해물 누룽지탕 670G,13900,4.6,25,50,695000
신의주얼큰순대국 600g,6500,5.0,1,50,325000
[밀키트] 마이셰프 어향가지 585G,9990,4.7,75,49,489510
[밀키트] 더본코리아 백종원의 빽쿡 매콤콩나물불고기 695G,9990,4.7,150,49,489510
[밀키트] 조방낙지 낙곱새 700G,18900,4.7,24,49,926100
삼원가든 진갈비탕 600G,8990,4.6,51,46,413540
[경복궁]한우사골 고기곰탕 600gx4팩,51700,5.0,2,46,2378200
시티델리 로제 치킨라이스 278G,5990,4.7,172,46,275540
홈밀 얼큰닭개장 500G,4990,4.3,59,45,224550
[밀키트] 백종원의 빽쿡 제주 돼지 부대찌개 796G,9990,4.5,305,44,439560
[경복궁]한우보양 세트 (한우사골고기곰탕 2팩+한우사골곰탕 2팩+사골고기도가니탕 2팩),60000,4.2,6,44,2640000
호밍스 언양식 바싹불고기 270G,10900,4.7,167,43,468700
[밀키트] 고기 마파두부 976G,6990,4.7,54,42,293580
샐러드미인 단호박 샐러드 1kg/팜피아,7800,,0,42,327600
빕스 콤비네이션피자 440G,8900,4.6,120,41,364900
[밀키트] 홈밀 알곤이찜 854G,9990,4.4,17,41,409590
[밀키트] 마이셰프 갈릭 포크 찹스테이크 673G,9990,4.6,36,40,399600
고소한 콩국수 12인분세트(면2kg+콩가루12봉),17900,5.0,2,38,680200
[밀키트] 애슐리 콰트로 햄치즈부대찌개 713G,9990,4.5,47,37,369630
[경복궁]양곰탕 600gx4팩,51700,4.0,2,37,1912900
[경복궁]양념 불고기 600g,20000,,0,37,740000
[하남돼지집] 한돈 매콤불고기 x 3개,20700,5.0,1,37,765900
[전철우] 나주곰탕 2팩 + 장터국밥 2팩 + 육개장 2팩 + 소갈비탕 2팩,32900,5.0,1,36,1184400
[경복궁]영양 삼계탕 1kgx4팩,60800,4.5,2,35,2128000
[경복궁]양념 불고기 600gx3팩,70500,,0,33,2326500
하코야 바사삭 치킨 가라아게 300G,7990,4.5,552,33,263670
[사리원] 뼈 없는 갈비탕 700g x 4팩,24900,5.0,2,31,771900
[밀키트] 신림동식 백순대볶음 1025G,14990,4.8,18,30,449700
[밀키트] 놀부 오리지널 부대찌개 냉동 406G,10900,4.4,32,29,316100
[경복궁]직화 고추장 불고기 150gx3팩,27900,,0,29,809100
스위트웰 빙수 떡 찹쌀 함유 200g,4000,,0,29,116000
고소한 콩국수 6인분세트(면1kg+콩가루6봉),11900,4.7,3,29,345100
신의주찹쌀순대국 600g,6500,,0,27,175500
청정원 호밍스 밀키트 언양식 바싹불고기 270g x 3개,29940,,0,27,808380
백채 돼지김치찌개 500G,6990,4.7,18,27,188730
[하남돼지집] 고깃집 차돌 된장찌개 x 5개,24500,4.3,3,26,637000
[사리원] 뼈 없는 갈비탕 600g x 2팩,14900,,0,26,387400
[밀키트] 사천식 정통 마라탕 1255G,24990,4.4,19,26,649740
[밀키트] 마이셰프 푸짐한 돼지불백 662G,9990,4.7,21,24,239760
[경복궁]한우사골곰탕 600gx5팩,40000,,0,24,960000
싱카이 간짜장 2인분 냉동 760G,13990,4.6,185,24,335760
하남돼지집 돼지 김치찌개 500g x 3개,22800,5.0,2,23,524400
[경복궁]직화 석쇠 불고기 150gx3팩,27900,4.3,4,23,641700
[경복궁]사골 고기 도가니탕 600gx4팩,51700,4.5,2,23,1189100
[밀키트] 팔당원조칼제비 시원한맛 냉동 485G,9990,4.7,19,23,229770
하남돼지집 차돌 된장술밥 250g x 3개,18000,5.0,2,22,396000
[경복궁]꼬리곰탕 600gx3팩,33600,5.0,1,22,739200
[사리원] 뼈 없는 갈비탕 600g x 5팩,29900,5.0,2,22,657800
모터시티 잭슨5 디트로이트 피자 280G,8490,4.4,119,21,178290
하코야 모둠 꼬치구이 338G,9990,4.3,118,21,209790
[경복궁]양념 불고기 600gx2팩,47000,,0,20,940000
[밀키트] 시원한 동태탕 600G,14900,4.7,48,19,283100
[사리원] 뼈 없는 갈비탕 600g x 6팩,34900,,0,19,663100
[경복궁]칼집 LA갈비 600gx3팩,105800,,0,19,2010200
[하남돼지집] 한돈 김치찜,15900,4.0,1,19,302100
모터시티 트리플치즈 디트로이트 피자 240G,8490,4.5,114,18,152820
싱카이 탕수육 450G,13990,4.6,296,18,251820
하남돼지집 차돌 된장술밥 2개 + 돼지 김치찌개 2개,27200,,0,18,489600
[밀키트] 감자옹심이 칼국수 562G,11900,4.6,27,18,214200
